"Year, Month ; Food and non alcoholic beverages 1 ; Alcoholic beverages and tobacco 2 ; Clothing and footwear 3 ; Housing, water, electricity, gas and other fuels 4 ; Furniture, lighting equipment, appliances and other households equipment 5 ; Health 6 ; Transport 7 ; Communication 8 ; Recreation, entertainmentand culture 9 ; Education 10 ; Restaurant and accomodation services 11 ; Miscellaneous goods and services 12"
1.2 ; 0.2328 ; 0.1064 ; 0.0855 ; 0.585 ; 0.055 ; 0.0637 ; 0.3483 ; -0.0081 ; 0 ; -0.0207 ; 0.1269 ; 0.148
12.19 ; 0.1843 ; 0.0988 ; 0.108 ; 0.5525 ; 0.06 ; 0.0539 ; 0.0645 ; -0.0135 ; 0.1469 ; -0.0027 ; 0.1222 ; 0.1924
11.19 ; 0.1552 ; 0.1026 ; 0.063 ; 0.39 ; 0.05 ; 0.0539 ; -0.1677 ; -0.0108 ; 0.0678 ; -0.0009 ; 0.1316 ; 0.1998
10.19 ; 0.0873 ; 0.095 ; 0.045 ; 0.455 ; 0.045 ; 0.049 ; -0.0774 ; -0.0108 ; 0.0678 ; -0.0018 ; 0.1269 ; 0.1998
9.19 ; 0.1067 ; 0.0988 ; 0.0405 ; 0.52 ; 0.045 ; 0.0441 ; -0.0258 ; -0.0135 ; 0.0791 ; -0.0018 ; 0.1269 ; 0.1776
8.19 ; 0.2231 ; 0.0798 ; 0.0585 ; 0.5525 ; 0.04 ; 0.049 ; 0.1161 ; -0.0162 ; 0.0226 ; 0.0099 ; 0.1269 ; 0.1776
7.19 ; 0.1746 ; 0.0798 ; 0.162 ; 0.6175 ; 0.045 ; 0.049 ; 0.2193 ; -0.0216 ; 0.0565 ; -0.0189 ; 0.1269 ; 0.1702
6.19 ; 0.097 ; 0.0798 ; 0.072 ; 0.585 ; 0.03 ; 0.0539 ; 0.2709 ; -0.0297 ; 0.2486 ; -0.0189 ; 0.1316 ; 0.1554
5.19 ; 0.0776 ; 0.1026 ; 0.054 ; 0.65 ; 0.04 ; 0.0539 ; 0.3999 ; -0.027 ; -0.1695 ; -0.0018 ; 0.1269 ; 0.1628
4.19 ; 0.0485 ; 0.095 ; 0.0495 ; 0.6825 ; 0.04 ; 0.0637 ; 0.4257 ; -0.0162 ; 0.3729 ; 0 ; 0.1175 ; 0.1258
3.19 ; 0.0485 ; 0.114 ; -0.0315 ; 0.6825 ; 0.02 ; 0.049 ; 0.3225 ; -0.0135 ; -0.1017 ; 0 ; 0.1081 ; 0.111
2.19 ; 0.1261 ; 0.0988 ; 0.063 ; 0.6825 ; 0.035 ; 0.049 ; 0.2064 ; -0.0189 ; 0 ; 0 ; 0.1081 ; 0.1406
1.19 ; 0.0679 ; 0.1026 ; 0.063 ; 0.6175 ; 0.03 ; 0.0441 ; 0.2193 ; -0.0243 ; 0.0226 ; 0 ; 0.1034 ; 0.148
12.18 ; 0.097 ; 0.095 ; 0.0315 ; 0.585 ; 0.04 ; 0.049 ; 0.4386 ; -0.0189 ; 0 ; -0.0063 ; 0.1081 ; 0.1554
11.18 ; 0.1455 ; 0.1102 ; 0.0585 ; 0.7475 ; 0.045 ; 0.049 ; 0.6837 ; -0.0216 ; 0.0113 ; -0.0072 ; 0.1081 ; 0.148
10.18 ; 0.1746 ; 0.1216 ; 0.045 ; 0.7475 ; 0.045 ; 0.049 ; 0.645 ; -0.027 ; 0.3277 ; -0.0072 ; 0.1034 ; 0.1406
9.18 ; 0.2716 ; 0.114 ; 0.0315 ; 0.6825 ; 0.035 ; 0.049 ; 0.5676 ; -0.0243 ; 0.1356 ; -0.0063 ; 0.094 ; 0.0666
8.18 ; 0.2231 ; 0.1178 ; -0.0225 ; 0.65 ; 0.03 ; 0.0441 ; 0.516 ; -0.0243 ; 0.1921 ; -0.0153 ; 0.094 ; 0.0592
7.18 ; 0.2425 ; 0.1216 ; -0.054 ; 0.6175 ; 0.025 ; 0.0392 ; 0.516 ; -0.0243 ; 0.1921 ; 0.0207 ; 0.094 ; 0.0592
6.18 ; 0.3201 ; 0.1292 ; 0.0315 ; 0.6175 ; 0.035 ; 0.0392 ; 0.5031 ; -0.0297 ; 0.0226 ; 0.0207 ; 0.1034 ; 0.0592
5.18 ; 0.3104 ; 0.1254 ; 0.009 ; 0.5525 ; 0.035 ; 0.0343 ; 0.4386 ; -0.027 ; 0.4068 ; 0.0198 ; 0.1081 ; 0.0592
4.18 ; 0.3007 ; 0.1406 ; 0.009 ; 0.455 ; 0.035 ; 0.0392 ; 0.1935 ; -0.0324 ; -0.0452 ; 0.0207 ; 0.1034 ; 0.0666
3.18 ; 0.2522 ; 0.1254 ; -0.0135 ; 0.455 ; 0.03 ; 0.0539 ; 0.1548 ; -0.0351 ; 0.2825 ; 0.0189 ; 0.1081 ; 0.0888
2.18 ; 0.0582 ; 0.114 ; 0.0495 ; 0.4225 ; 0.03 ; 0.0539 ; 0.1677 ; -0.0324 ; 0.1017 ; 0.0189 ; 0.1034 ; 0.0814
1.18 ; 0.2522 ; 0.1102 ; -0.0315 ; 0.455 ; 0.04 ; 0.0539 ; 0.1806 ; -0.0351 ; 0.1356 ; 0.0198 ; 0.1081 ; 0.0592
12.17 ; 0.2522 ; 0.114 ; 0.0135 ; 0.4225 ; 0.025 ; 0.0588 ; 0.2709 ; -0.0351 ; 0.1921 ; 0.0135 ; 0.1034 ; -0.074
11.17 ; 0.2716 ; 0.1064 ; -0.0135 ; 0.4875 ; 0.025 ; 0.0588 ; 0.3741 ; -0.0378 ; 0.2373 ; 0.0135 ; 0.094 ; -0.0666
10.17 ; 0.3686 ; 0.1026 ; -0.0045 ; 0.4225 ; 0.02 ; 0.0588 ; 0.2193 ; -0.0351 ; 0.1017 ; 0.0135 ; 0.1034 ; -0.0592
9.17 ; 0.291 ; 0.0912 ; 0.027 ; 0.4225 ; 0.03 ; 0.0637 ; 0.3354 ; -0.0324 ; 0.2486 ; 0.0063 ; 0.1081 ; 0.0222
8.17 ; 0.2619 ; 0.1026 ; 0.0585 ; 0.39 ; 0.025 ; 0.0637 ; 0.3483 ; -0.0378 ; 0.2373 ; 0.0045 ; 0.1034 ; 0.037
7.17 ; 0.2231 ; 0.1026 ; 0.0225 ; 0.3575 ; 0.025 ; 0.0686 ; 0.2322 ; -0.0324 ; 0.2599 ; 0.0036 ; 0.1034 ; 0.0444
